report_name,overall_wasi,profit_sentiment,deposits_sentiment,advances_sentiment,capital_sentiment,npl_sentiment,provisions_sentiment,risk_sentiment,outlook_sentiment,macroeconomic_sentiment,costs_sentiment,num_sentences
HBL-Annual-Report-2015.pdf,-0.869502,-0.853111,-0.929858,-1.181888,-1.034745,-0.987375,-0.613042,-0.794384,-0.697059,-0.690872,-0.912687,631
HBL_Annual_Report_2016.pdf,-0.873484,-1.042371,-0.904547,-1.068519,-1.001809,-0.769062,-0.766273,-0.773139,-0.650583,-0.790591,-0.967945,691
HBL_Annual_Report_2017.pdf,-0.814225,-1.003838,-0.771195,-1.086960,-0.905031,-0.601848,-0.717343,-0.761845,-0.515670,-0.842695,-0.935827,864
HBL_Annual_Report_2018.pdf,-0.763944,-0.932545,-0.838034,-0.926922,-1.012560,-0.465496,-0.713291,-0.706467,-0.365735,-0.784202,-0.894189,831
HBL_Annual_Report_2019.pdf,-0.829415,-0.940058,-0.837185,-1.000540,-1.050280,-0.595914,-0.807468,-0.796246,-0.663893,-0.695232,-0.907337,978
HBL_Annual_Report_2020.pdf,-0.800625,-0.923976,-0.842973,-0.894897,-0.924746,-0.599366,-0.817387,-0.733878,-0.644099,-0.676921,-0.948007,1020
HBL_Annual_Report_2021.pdf,-0.724901,-0.958875,-0.789430,-0.908803,-0.919205,0.333670,-0.753759,-0.758654,-0.680367,-0.828808,-0.984780,1031
HBL_Annual_Report_2022.pdf,-0.843301,-0.966274,-0.732347,-0.941519,-0.962166,-0.997377,-0.751296,-0.732383,-0.781653,-0.655824,-0.912168,1055
HBL_Annual_Report_2023.pdf,-0.762873,-0.946234,-0.759337,-0.868176,-0.961788,-0.484399,-0.780532,-0.674136,-0.575630,-0.683754,-0.894747,1064
HBL_Annual_Report_2024.pdf,-0.760226,-1.016912,-0.707775,-0.900754,-0.937709,-0.478670,-0.856303,-0.705687,-0.500116,-0.586286,-0.912045,1082
