report_name,overall_wasi,profit_sentiment,deposits_sentiment,advances_sentiment,capital_sentiment,npl_sentiment,provisions_sentiment,risk_sentiment,outlook_sentiment,macroeconomic_sentiment,costs_sentiment,num_sentences
HBL-Annual-Report-2015.pdf,-0.811481,-0.827919,-0.867521,-0.893904,-0.911051,-0.987375,-0.613042,-0.784385,-0.697059,-0.690872,-0.841682,631
HBL_Annual_Report_2016.pdf,-0.807971,-0.926963,-0.864234,-0.809346,-0.832590,-0.769062,-0.766273,-0.754709,-0.650583,-0.790591,-0.915356,691
HBL_Annual_Report_2017.pdf,-0.759134,-0.909378,-0.756488,-0.866539,-0.754883,-0.601848,-0.717343,-0.745144,-0.515670,-0.842695,-0.881353,864
HBL_Annual_Report_2018.pdf,-0.698984,-0.813322,-0.827281,-0.753692,-0.808862,-0.465496,-0.713291,-0.687090,-0.365735,-0.784202,-0.770872,831
HBL_Annual_Report_2019.pdf,-0.774062,-0.842602,-0.805606,-0.837750,-0.873436,-0.595914,-0.807468,-0.769514,-0.700928,-0.664464,-0.842938,978
HBL_Annual_Report_2020.pdf,-0.749300,-0.822818,-0.804512,-0.737634,-0.822155,-0.599366,-0.817387,-0.705493,-0.644099,-0.676921,-0.862615,1020
HBL_Annual_Report_2021.pdf,-0.682265,-0.848996,-0.759128,-0.808804,-0.837766,0.333670,-0.753759,-0.737952,-0.680367,-0.828731,-0.900822,1031
HBL_Annual_Report_2022.pdf,-0.798681,-0.854052,-0.705025,-0.808864,-0.889627,-0.997377,-0.751296,-0.714591,-0.781653,-0.655824,-0.828505,1055
HBL_Annual_Report_2023.pdf,-0.715838,-0.843161,-0.730749,-0.760696,-0.829274,-0.484399,-0.780532,-0.655573,-0.575630,-0.685074,-0.813295,1064
HBL_Annual_Report_2024.pdf,-0.713381,-0.881771,-0.668560,-0.796182,-0.812719,-0.489292,-0.856303,-0.679812,-0.487333,-0.586298,-0.875544,1082
