report_name,wasi_score,num_filtered_sentences
First_Quarter-Financial_statements_-_Group_2015.pdf,0.152294,230
First_Quarter-Financial_statements_-_Holding_2015.pdf,0.144895,230
"HBL Quarterly Report March 31, 2025.pdf",0.138781,1089
HBL_First_Quarter_-_Financial_Statements.pdf,0.105337,488
HBL_HALF_YEARLY_JUN_2017.pdf,0.113799,552
HBL_Half_Yearly_June_2016.pdf,0.116417,535
"HBL_Half_Yearly_Report_-_June_30,_2021.pdf",0.128674,976
"HBL_Half_Yearly_Report_-_June_30,_2022.pdf",0.125760,1001
"HBL_Half_Yearly_Report_-_June_30,_2023.pdf",0.125567,1036
"HBL_Half_Yearly_Report_-_June_30,_2024.pdf",0.151810,1248
"HBL_Half_Yearly_Report_-_June_30,_2025.pdf",0.145182,1130
HBL_Half_Yearly_Report_June_2018.pdf,0.131778,702
HBL_Half_Yearly_Report_June_2019.pdf,0.123677,1071
HBL_Quartely_Report_September_2017.pdf,0.124221,580
HBL_Quarterly_Report_June_2020.pdf,0.119639,1166
HBL_Quarterly_Report_March_2018.pdf,0.125947,652
HBL_Quarterly_Report_March_2019.pdf,0.114692,1002
HBL_Quarterly_report_March_2020.pdf,0.109689,1057
HBL_Quarterly_Report_March_2021.pdf,0.142030,989
HBL_Quarterly_Report_March_2022.pdf,0.116642,928
HBL_Quarterly_Report_March_2023.pdf,0.113399,959
"HBL_Quarterly_Report_March_31,_2024.pdf",0.135627,1127
HBL_Quarterly_Report_September_2018.pdf,0.119547,686
HBL_Quarterly_Report_September_2019.pdf,0.128999,1033
HBL_Quarterly_Report_September_2020.pdf,0.115460,1104
HBL_Quarterly_Report_September_2021.pdf,0.128570,981
HBL_Quarterly_Report_September_30 2025.pdf,0.136333,1106
"HBL_Quarterly_Report_September_30,_2022.pdf",0.115954,955
"HBL_Quarterly_Report_September_30,_2023.pdf",0.137046,988
"HBL_Quarterly_Report_September_30,_2024.pdf",0.149651,1219
HBL_Quartlery_Report_March_2017.pdf,0.109025,475
HBL_Quartlery_Report_Sep_2016.pdf,0.110752,528
Second_Quarter-Financial-Statements_Group_2015.pdf,0.162664,260
Second_Quarter-Financial-Statements_Holding_2015.pdf,0.270331,62
Third_Quarter-Financial_Statements_-_Group_2015.pdf,0.174584,246
Third_Quarter-Financial_Statements_-_Holding_2015.pdf,0.117964,196
